# Estimated CEFR levels — OURS, not a published wordlist.
#
# Produced 2026-07-26 by independent raters over the cards that carry no
# published level and sit at zipf >= 3.0. Calibrated first against 420 cards
# that DO carry one (six raters, blind): 38 % exact, 91 % within one step,
# 91 % on the 'core vocabulary or beyond' boundary — against 26 / 76 / 71 %
# for deriving the level from frequency, the rule `info/PLANS.md` pt.3
# measured and rejected.
#
# Read that shape before using this file. The exact step is weak and the
# raters lean about a third of a level EASY. What is strong is the one
# boundary an official list attests, and on the Goethe half of the sample
# the estimate never once called a word 'core' that the list placed above.
#
# Per-level precision on words absent from the Goethe list (n=235): a1 83 %,
# a2 73 %, b2 39 %, c2 36 %, c1 26 %, b1 13 %. `b1` is the dumping ground.
#
# Consumed by vocab/levels.py into `cards.level_est` — never into `level`,
# and never into `band`, which picks one of 15 hand-painted brushes.
#
# lemma	level	conf
Frühgeschichte	b1	high
Fuchs	a2	high
Fuge	b2	medium
Fuhrpark	b2	medium
Full-time-Job	b1	low
Fun	b1	high
Fund	b1	low
Fundament	b1	high
Fundort	b2	high
Fundstelle	b2	high
Fundus	b2	low
Funke	b1	high
Funkeln	b2	high
Funken	b1	high
Funktion	b1	high
Funktionalität	b2	high
Funktionsweise	b1	high
Funktionär	b1	low
Furcht	b1	low
Fusion	b2	low
Futsal	c1	low
Futter	a2	high
Futtermittel	b2	high
Future	c2	medium
Fußball-Europameisterschaft	b1	medium
Fußball-Lehrer	c1	low
Fußball-Lehrerin	b1	low
Fußball-WM	a2	high
Fußballer	a1	high
Fußballfan	a1	high
Fußballplatz	a1	high
Fußballspiel	a1	high
Fußballstadion	a1	high
Fußballverein	b1	high
Fußboden	a1	high
Fußnote	b1	high
Fußstapfen	b1	low
Fußweg	a2	high
Fächer	b1	low
Fächer-Ahorn	c2	high
Fähnchen	a2	high
Fährmann	b1	low
Fälschung	b1	high
Föderalismus	b2	high
Föhn	b1	low
Förderer	b1	high
Förderprogramm	b1	low
Förderschule	b2	high
Förderverein	b1	high
Förster	b1	high
Fühlen	b1	low
Fühler	b1	high
Führender	b1	high
Führer	b1	medium
Führungskräfte	b2	medium
Führungsriege	b2	high
Fülle	b2	low
Füllen	b2	low
Füller	a2	high
Füllung	b1	high
Fünf-Euro-Münze	a2	high
Fünf-Euro-Schein	a1	high
Fünf-Prozent-Hürde	c1	high
Fünftel	b1	low
Fünfter	a2	medium
Fünfzig-Euro-Schein	a2	high
Fünfziger	b1	low
Fürsorge	b2	high
Fürsprecher	b2	high
Fürst	b2	low
Fürstentum	b2	high
G-Jugend	c2	high
G-Punkt	c1	low
G-String	b1	low
GPS-Gerät	a2	high
GPS-Signal	b1	high
Gabe	b1	low
Gag	b1	low
Gala	b1	high
Gala-Uniform	b2	low
Galaxie	b1	high
Galaxis	b1	high
Galgen	b2	high
Galle	b1	low
Gallier	c1	low
Galopp	b1	high
Gameplay	b1	medium
Gamer	a2	high
Gaming	a2	low
Gaming-PC	a2	high
Gangster	b1	low
Gans	a2	high
Ganze	b1	low
Ganzes	b1	high
Ganztagsschule	b1	high
Garant	b2	medium
Garde	b2	high
Garn	a2	high
Garnison	b2	low
Gartenarbeit	a2	high
Gartenbau	b1	high
Gartenhaus	a2	high
Gasse	a2	low
Gastfreundschaft	b1	low
Gastgeber	b1	low
Gastgeberin	a2	low
Gasthof	b1	high
Gastronomie	b1	medium
Gastspiel	b2	high
Gastwirt	b1	high
Gate	a2	medium
Gatte	c1	low
Gattin	b2	high
Gaul	b1	high
Gaumen	b1	high
Gauner	b1	high
Gaza-Konflikt	b1	medium
Geber	b1	medium
Gebet	b1	high
Gebildeter	b1	low
Gebiss	b1	low
Geborgenheit	b1	high
Gebot	b2	high
Gebrauch	b1	high
Gebrauchtwagen	a2	high
Geburtsdatum	a1	high
Geburtsstadt	a2	high
Geburtstagsfeier	a1	high
Geburtstagskind	a1	high
Geburtsurkunde	b1	low
Gebärdensprache	b1	low
Gebüsch	a2	high
Gedankengang	b1	high
Gedankengut	c1	high
Gedankenwelt	b2	high
Gedenkstätte	b1	low
Gedenktafel	b1	low
Gedenktag	b1	high
Gedränge	b1	low
Gefallene	b1	high
Gefangene	b1	low
Gefangener	b1	high
Gefangenschaft	b2	low
Gefecht	b2	medium
Geflügel	a2	high
Gefolge	c1	low
Gefolgschaft	b2	high
Gefährder	c1	low
Gefährt	c1	low
Gefährtin	b1	high
Gefälle	b2	medium
Gefängnisstrafe	b1	high
Gefäß	b1	low
Gefüge	b2	low
Gegengewicht	b2	low
Gegenpol	b1	low
Gegenrichtung	b1	low
Gegenseite	b1	high
Gegenseitigkeit	b2	high
Gegenspieler	b1	high
Gegenstück	b2	low
Gegentor	b1	low
Gegenverkehr	a2	high
Gegenwehr	b1	low
Gegenwert	b2	high
Gegenwind	b1	low
Gegenzug	b2	low
Gegenüberstellung	b2	high
Gehaltserhöhung	b1	high
Gehege	b1	high
Geheimdienst	b1	high
Geheimhaltung	b2	low
Geheimtipp	b1	high
Geheiß	c1	high
Gehirnerschütterung	b1	high
Gehirnwäsche	b1	high
Gehorsam	b2	high
Gehweg	a2	high
Gehäuse	b2	low
Gehör	b1	low
Geier	b1	low
Geige	a2	high
Geiger	b1	low
Geiger-Zähler	c1	low
Geisel	b1	high
Geiselnahme	b2	high
Geist	b1	low
Geisteswissenschaften	b2	high
Geistliche	b2	low
Geistlicher	b1	low
Geiz	b1	high
Gejammer	b2	high
Gel	a2	high
Gelaber	b1	low
Gelassenheit	b1	high
Gelatine	b1	low
Gelbes	a2	low
Geldanlage	b2	high
Geldbetrag	a2	high
Geldbeutel	a2	high
Geldbuße	b1	high
Geldgeber	b1	low
Geldpolitik	b2	high
Geldstrafe	b1	high
Geldwäsche	b2	high
Gelehrte	b2	high
Gelehrter	b2	medium
Geleit	c1	high
Gelenk	b1	high
Geliebte	b1	high
Geliebter	b1	medium
Geltung	b2	low
Geltungsbereich	b2	high
Gelächter	b1	low
Geländewagen	a2	high
Gelübde	c1	high
Gemach	c2	low
Gemahl	c1	high
Gemahlin	c1	high
Gemeindehaus	b1	low
Gemeinderat	b1	medium
Gemeindevertretung	b2	high
Gemeindeverwaltung	b2	high
Gemeindezentrum	b1	low
Gemeinwesen	c1	high
Gemeinwohl	b2	high
Gemeinwohl-Ökonomie	c1	high
Gemisch	b1	high
Gemüt	c1	low
Gemütlichkeit	b1	low
Gen	b1	low
Gen-Cluster	c1	low
Genauigkeit	b1	low
Gender-Gap	b2	low
Gender-Gegner	b2	high
Gender-Ideologie	b2	low
Gender-Pay-Gap	b2	high
Genealogie	c1	high
General	b1	high
Generalprobe	b1	low
Generalsekretärin	b1	high
Generalstaatsanwalt	b2	high
Generalversammlung	b1	high
Generator	b1	high
Genesis	c1	low
Genick	b1	low
Genie	b1	high
Genießen	b1	low
Genitalien	b1	high
Genom	b2	low
Genosse	b1	low
Genossenschaft	b2	high
Genozid	b2	high
Gentleman	b1	medium
Gentrifizierung	b2	high
Genugtuung	c1	high
Genus	b2	low
Genuss	b2	medium
Genüge	c1	low
Geographie	a2	high
Geologie	b2	low
Geometrie	b1	high
Gerber	c2	low
Gerechter	c1	medium
Gerede	b1	low
Gerichtshof	b1	high
Gerichtssaal	b1	high
Gerichtsurteil	b2	high
Gerichtsverfahren	b2	high
Gerichtsverhandlung	b1	low
Gerichtsvollzieher	c1	low
Germanistik	b2	medium
Germanistik-Professor	b1	high
Gerste	b1	high
Gerücht	b1	high
Gerüst	b1	high
Ges-Dur	c1	low
Gesamtausgabe	b1	high
Gesamtbevölkerung	b2	low
Gesamtbild	b2	high
Gesamteindruck	b1	high
Gesamtfläche	b1	low
Gesamtgewicht	b1	high
Gesamtheit	b2	high
Gesamtlänge	b1	high
Gesamtsieg	a2	high
Gesamtsumme	b1	high
Gesamtwerk	c1	high
Gesamtwert	b1	high
Gesamtwertung	b1	medium
Gesamtzahl	b1	medium
Gesandter	b2	low
Gesandtschaft	c1	high
Gesang	b1	low
Geschichtsschreibung	b2	high
Geschichtsunterricht	a2	high
Geschichtswissenschaft	b2	high
Geschick	b2	medium
Geschicklichkeit	b1	high
Geschirrspüler	a1	high
Geschlechtsverkehr	b1	low
Geschlossene	c1	low
Geschlossenheit	b2	high
Geschmackssache	b1	high
Geschoss	b1	high
Geschrei	b1	low
Geschwätz	b2	medium
Geschädigte	b2	high
Geschäftsbereich	b1	low
Geschäftsbericht	b2	high
Geschäftsführer	b1	high
Geschäftsführerin	b1	high
Geschäftsidee	b1	high
Geschäftsjahr	b2	medium
Geschäftsleitung	b1	low
Geschäftsmann	a2	low
Geschäftsmodell	b1	high
Geschäftspartner	a2	high
Geschäftsstelle	b1	low
Geschütz	b1	low
Geselle	b1	high
Geselligkeit	b1	high
Gesellschaftskritik	b2	high
Gesellschaftsordnung	b2	high
Gesetzbuch	b2	high
Gesetzentwurf	b2	high
Gesichtsausdruck	b1	high
Gesichtserkennung	b2	high
Gesichtspunkt	b1	high
Gesindel	c1	low
Gesinnung	b2	high
Gespenst	a2	high
Gesprächspartner	b1	high
Gespür	b1	high
Gestalten	b2	high
Gestalter	b1	low
Gestank	b1	high
Gestapo-Akte	b2	low
Geste	b1	high
Gestein	b1	medium
Gestell	a2	medium
Gestik	b2	high
Geständnis	b1	high
Gesuch	b1	low
Gesundheitsamt	b1	high
Gesundheitsministerium	b1	high
Gesundheitspolitik	b2	high
Gesundheitssystem	b2	high
Gesundheitswesen	b2	medium
Gesundheitszustand	b1	high
Gesäß	b1	high
Get-together	b2	high
Getreide	b1	low
Getriebe	b2	low
Gewahrsam	c1	high
Gewaltanwendung	b1	high
Gewalttäter	b1	high
Gewaltverbrechen	b2	high
Gewand	c1	medium
Gewebe	b1	high
Gewehr	a2	medium
Gewerbe	b2	high
Gewerbegebiet	b1	medium
Gewerbesteuer	b2	high
Gewerbetreibende	b2	low
Gewerkschafter	b2	medium
Gewichtsklasse	b1	high
Gewichtung	b2	low
Gewinde	c1	low
Gewinner	b1	low
Gewinnspiel	b1	high
Gewinnung	b2	low
Gewißheit	b1	high
Gewähr	c1	low
Gewährleistung	b2	high
Gewährung	b2	high
Gewässer	b1	low
Gewölbe	b2	low
Gewürze	a1	high
Gezeiten	b1	high
Ghetto	b2	low
Ghetto-Faust	b1	low
Giebel	b1	high
Gier	b1	high
Gießerei	c1	low
Gif	b1	high
Giftgas	b2	high
Gigabyte	a2	low
Gilde	b2	low
Gin	a2	medium
Ginger	b1	low
Gipfel	b1	high
Gipfeltreffen	b1	high
Gips	b1	high
Giraffe	a1	high
Gitarrist	a2	high
Gitter	a2	high
Glamour	b1	high
Glanz	b2	low
Glaser	b2	low
Glasfaser	b2	medium
Glashaus	a2	high
Glatze	a2	low
Glaube	b1	low
Glaubensgemeinschaft	b2	high
Glaubwürdigkeit	b2	high
Gleichbehandlung	b2	high
Gleichgesinnte	b1	low
Gleichgewicht	b1	high
Gleichgültigkeit	b2	medium
Gleichheit	b2	high
Gleichnis	c1	high
Gleichsetzung	b2	low
Gleichung	b1	low
Gleiten	b2	low
Gletscher	b1	medium
Glied	b1	low
Gliederung	b2	high
Gliedmaßen	b1	low
Glitzer	b1	low
Globalisierung	b2	high
Glocke	a2	high
Glossar	b2	high
Glotze	a2	high
Glucose	b1	low
Gluten	b1	low
Glyphosat	c1	low
Gläschen	a2	high
Gläubige	b2	high
Gläubiger	c1	low
Glücklicher	b1	low
Glückseligkeit	c1	high
Glücksfall	b1	low
Glücksspiel	b1	high
Glühbirne	a1	high
Glühen	b2	low
Glühwein	a2	high
Go-go-Boy	c1	low
Go-go-Girl	c1	low
Go-in	c1	low
Go-live	c1	high
Go-slow	c1	low
Goldmedaille	a2	medium
Goldpreis	b1	high
Golem	c2	low
Golfplatz	b1	high
Gondel	b1	low
Gong	a2	high
Gore	c1	low
Gospel	b1	low
Gossip	b1	high
Gottesdienst	b1	low
Gotteshaus	b1	high
Gottheit	b2	low
Grab	a2	high
Grabmal	b1	high
Grabstein	b1	high
Graffiti	b1	high
Graffiti-Künstler	a2	high
Grafikkarte	b1	low
Grafschaft	b1	low
Grammatik	a2	high
Granate	b1	high
Granit	b1	high
Graph	b1	high
Graphik	b1	low
Grat	b2	low
Grauen	c1	low
Grausamkeit	b1	high
Gravitation	b1	medium
Gray	c2	low
Green	c1	low
Green-Keeper	c2	low
Greif	c2	low
Greis	b2	high
Gremium	b2	high
Grenzgebiet	b1	high
Grenzschutz	b1	low
Grenzübergang	b1	high
Grieche	a1	high
Griff	a2	high
Grillen	a1	high
Grimm	c1	low
Grinsen	b1	low
Grippe-Epidemie	b1	low
Groll	b2	high
Groove	b2	low
Gros	b2	high
Groschen	b1	low
Groteske	c1	low
Grotte	b1	high
Großbrand	a2	high
Großhandel	b2	high
Großhändler	b1	high
Großmeister	b1	low
Großraum	b2	medium
Großstadt	a2	high
Großzügigkeit	b1	high
Grube	b1	low
Gruft	b2	high
Grundausbildung	b1	high
Grundbesitz	b2	low
Grundbesitzer	b1	high
Grundbuch	c1	low
Grundeinkommen	b2	high
Grundfläche	b2	low
Grundhaltung	b2	high
Grundidee	b1	high
Grundkurs	a2	high
Grundlage	b1	high
Grundlagenforschung	b2	high
Grundordnung	c1	high
Grundprinzip	b1	high
Grundrecht	b1	high
Grundriss	b1	high
Grundschüler	a1	high
Grundstein	b1	high
Grundsteinlegung	c1	high
Grundsteuer	b2	high
Grundstimmung	b2	medium
Grundstock	b2	high
Grundversorgung	b2	high
Grundvoraussetzung	b1	high
Grundwasser	b1	high
Gruppenarbeit	a2	high
Gruppenphase	b1	high
Gruppenspiel	a2	high
Gruppierung	b2	low
Grußwort	b1	high
Größenordnung	c1	high
Grübeln	b2	low
Gründer	b1	high
Gründerin	b1	high
Gründungsmitglied	b1	high
Grüne	b1	low
Grüner	b1	low
Grünkohl	a2	high
Grünland	b1	high
Guide	a2	high
Gulasch	b1	high
Gummi	a2	high
Gummibärchen	a1	high
Gummistiefel	a2	high
Gunst	b2	medium
Gurt	a2	high
Guru	b1	high
Guss	c1	low
Gusto	b2	low
Gutachter	b2	high
Gute	b2	high
Guter	b1	low
Guthaben	b1	high
Gutmensch	b2	low
Gutscheincode	b1	low
Guß	b1	low
Gynäkologie	b1	high
Gänsehaut	b1	high
Gärtner	a2	high
Gärtnerei	b1	high
Gäste-WC	a2	medium
Gästehaus	a2	high
Gästezimmer	a2	high
Gönner	b2	medium
Göttin	b1	low
Götze	b2	medium
Gülle	b2	medium
Gürtel	a2	high
Gürtellinie	b1	high
Güterverkehr	b1	high
Gütesiegel	b2	high
H-Bombe	b2	low
H-Dur	c1	low
HGB-Bestimmung	c1	low
HIV-Infektion	b1	medium
HIV-Test	b1	high
HIV-infiziert	b1	medium
HIV-negativ	b1	high
HIV-positiv	b1	high
HNO-Station	c1	high
HNO-Ärztin	b2	low
HTML-Editor	b1	low
Haarausfall	b1	low
Haarfarbe	a1	high
Haarschnitt	a2	high
Habe	c1	high
Hacke	a2	high
Hacker	b1	high
Hafenstadt	a2	high
Haferflocken	a1	high
Haft	b2	medium
Haftbefehl	c1	high
Haftpflicht	b2	low
Haftpflichtversicherung	b2	low
Haftstrafe	b2	high
Hahn	a2	high
Hain	c1	low
Haken	b1	low
Hakenkreuz	b1	high
Hakenkreuz-Tattoo	b2	low
Halbbruder	a2	high
Halbe	b1	low
Halbfinal	b1	high
Halbfinale	a2	high
Halbinsel	a2	high
Halbjahr	a2	high
Halbmarathon	a2	low
Halbmarathon-Weltmeisterschaft	b1	high
Halbmond	b1	high
Halbzeit	a2	high
Hall-Effekt	c2	high
Hallenbad	a2	high
Halloween	a2	high
Halo	c1	low
Hals-Nasen-Ohren-Arzt	b1	high
Halsband	a2	high
Halskette	a2	high
Halt	a2	low
Haltbarkeit	b1	low
Halter	b2	low
Halterung	b2	high
Haltung	b1	low
Hammer	a1	high
Hamster	a1	high
Hand-Fuß-Mund-Krankheit	c1	high
Handarbeit	b1	low
Handball	a1	high
Handball-Fan	a1	medium
Handballer	a2	high
Handbremse	a2	high
Handbuch	b1	high
Handeln	b2	high
Handelsabkommen	b2	high
Handelsbeziehungen	b2	high
Handelspartner	b1	high
Handelsregister	b2	high
Handgelenk	a2	high
Handgepäck	a2	high
Handhabung	b1	high
Handicap	b1	high
Handjob	b2	low
Handlanger	b1	low
Handlungsbedarf	b2	high
Handlungsfähigkeit	b2	low
Handschellen	b1	low
Handschlag	a2	high
Handschrift	b1	low
Handschuh	a1	high
Handy-Akku	a2	high
Handy-App	a2	high
Handy-Nummer	a2	high
Handy-Reparatur	a2	high
Handy-TV	b1	low
Handynummer	a1	high
Handzeichen	a2	high
Hanf	b1	high
Hang	b1	low
Hangar	b1	low
Hansestadt	b2	low
Happy-End	a2	high
Haram	c1	medium
Hardliner	b1	high
Harfe	b1	high
Harmonie	b1	low
Hartz-IV-Empfänger	b2	low
Harz	b1	low
Haschisch	b1	high
Hase	a2	high
Hashtag	b1	low
Hass	b1	high
Hast	b2	low
Hat-Trick	b2	low
Hater	b2	high
Hattrick	b1	high
Haube	b1	low
Hauch	b2	low
Haufen	a2	high
Hauptaufgabe	a2	high
Hauptaugenmerk	b2	high
Hauptdarsteller	a2	high
Hauptfach	b1	high
Hauptfigur	a2	high
Hauptgebäude	a2	high
Hauptgrund	a2	high
Hauptmann	c1	low
Hauptplatz	a1	high
Hauptpreis	a2	high
Hauptproblem	b1	low
Hauptquartier	b1	high
Hauptrolle	a2	high
Hauptsache	b1	high
Hauptschulabschluss	b1	high
Hauptsitz	b1	low
Hauptsponsor	b1	high
Hauptteil	b1	low
Hauptthema	b1	high
Hauptursache	b1	high
Hauptverhandlung	b2	low
Hauptversammlung	b2	low
Hauptwerk	b2	high
Hauptziel	b1	high
Hausarbeit	a2	high
Hausarzt	a2	high
Hausbau	b1	high
Hausdurchsuchung	b1	low
Hausflur	a2	high
Haushälterin	a2	high
Hausnummer	a1	high
Hausrat	b2	medium
Haustür	a1	high
Hausverbot	b1	medium
Hausverwaltung	b1	high
Hautfarbe	b1	high
Havanna-Syndrom	c2	low
Headset	a2	high
Heavy-Metal-Band	a2	low
Heavy-Metal-Festival	a2	high
Hebamme	b1	low
Hebel	b1	low
Hebräisch	a2	high
Hecht	b1	high
Hecke	a2	high
Heer	b1	low
Hege	c1	high
Hehl	c1	medium
Heide	b2	low
Heil	c1	low
Heiland	c1	high
Heiler	b1	high
Heilige	b2	low
Heiliger	b1	high
Heiligkeit	c1	low
Heiligtum	c1	low
Heilkunde	b2	high
Heilmittel	b1	high
Heilpraktiker	b2	high
Heimatland	b1	high
Heimatmuseum	b1	low
Heimatort	a2	high
Heimatschutz	b1	low
Heimatstadt	a2	high
Heimatverein	b2	low
Heimfahrt	a2	high
Heimkehr	b2	high
Heimniederlage	b1	high
Heimreise	a2	high
Heimsieg	b1	high
Heimspiel	b1	high
Heimweg	a2	high
Heirat	b1	high
Heiratsantrag	b1	low
Heizkosten	a2	high
Heißes	a2	low
Hektar	b1	medium
Hektik	b1	low
Heli	a2	low
Helikopter	a2	high
Helikopter-Eltern	b2	medium
Helium	a2	high
Helium-3	c2	low
Helix	c1	medium
Helles	b1	low
Helm	a2	high
Hengst	b1	high
Henkel	a2	high
Henker	b2	low
Henne	a1	high
Hepatitis	b2	low
Herangehensweise	b2	high
Herausforderer	b1	high
Herausgabe	b2	high
Herausgeber	b1	high
Herbstferien	a2	high
Herde	b1	high
Herkommen	b2	low
Herkunftsland	a2	high
Herleitung	b2	high
Heroin	b2	high
Herpes	b1	high
Herrchen	a2	high
Herren-WC	a1	high
Herrgott	a2	low
Herrlichkeit	c1	high
Herrschaft	b2	low
Herumlaufen	b1	low
Herz-Kreislauf-Erkrankung	b2	low
Herz-Lungen-Maschine	c1	low
Herzblut	c1	high
Herzchen	a2	low
Herzfrequenz	b1	high
Herzinfarkt	b1	high
Herzklopfen	b1	high
Herzlichkeit	b1	high
Herzogin	b1	low
Herzogtum	b1	low
Herzschlag	a2	high
Herzstück	b2	medium
Hessisch	b1	low
Hetero	b1	low
Heterosexuelle	b1	low
Hetze	b2	high
Hetzer	b2	high
Heu	a2	high
Heuchelei	b2	high
Heuchler	b2	high
Hexe	a2	high
Hexenjagd	b2	high
Hexerei	b1	low
Hi-Fi-Anlage	a2	medium
Hierarchie	b2	high
High-Society	b1	low
High-Tech	b1	low
High-Tech-Gerät	b1	low
Highschool	b1	high
Hightech	b2	low
Hilfeleistung	b2	high
Hilferuf	a2	high
Hilfestellung	b1	high
Hilflosigkeit	b1	high
Hilfsbereitschaft	b2	high
Hilfskraft	b1	high
Hilfsmittel	b1	high
Hilfsorganisation	b1	high
Hilfswerk	b1	high
Himmelfahrt	b1	low
Himmelreich	c1	high
Himmelskörper	b1	low
Hinausgehen	a2	high
Hindernis	b1	high
Hindi	b1	high
Hindu	b1	low
Hingabe	b2	low
Hingucker	b1	low
Hinhalten	b1	high
Hinrichtung	b2	high
Hinrunde	b2	low
Hinsicht	b2	high
Hinspiel	b1	low
Hinterachse	b2	low
Hintergrund	b1	high
Hintergründe	b1	high
Hinterhalt	b2	low
Hinterhof	a2	high
Hinterkopf	b1	high
Hinterland	b2	medium
Hintern	a2	low
Hinterrad	a2	high
Hinterteil	b1	high
Hintertür	b1	low
Hinweg	a2	high
Hinwendung	b2	low
Hip-Hop	a2	high
Hip-Hop-DJ	b1	low
Hip-Hop-Szene	b1	low
Hiphop	a2	high
Hippie	b1	low
Hipster	b1	high
Hirn	a2	high
Hirsch	a2	high
Hirt	b1	high
Historie	b2	low
Historiker	b1	high
Hit	a2	high
Hitler-Schnurrbart	c2	low
Hochachtung	c1	high
Hochbau	c2	low
Hochburg	b2	medium
Hochdeutsch	b1	high
Hochglanz	b1	low
Hochland	b1	low
Hochmut	b2	high
Hochschullehrer	b1	high
Hochschulreife	b1	high
Hochsommer	a2	high
Hochsprung	b1	high
Hochverrat	c1	high
Hochzeitstag	a2	high
Hocke	b1	high
Hocker	a2	high
Hockey	a2	high
Hoden	b1	high
Hoheitsgebiet	c1	medium
Hohn	b2	low
Hole-in-one	c1	medium
Hollywood-Film	a2	low
Hollywood-Western	b1	low
Holocaust	b2	high
Holzkohle	a2	high
Homeoffice	b1	high
Homepage	a2	high
Hommage	c1	high
Homophobie	b2	high
Homosexualität	b1	high
Homosexueller	b1	high
Honorar	b1	high
Hoodie	a2	high
Hopfen	b1	medium
Horde	b1	low
Horizont	b1	high
Hormon	b1	low
Horn	a2	medium
Hornhaut	b2	high
Horoskop	b1	high
Horror	a2	high
Horror-Autor	b1	high
Horrorfilm	a2	high
Horst	c2	low
Hort	b1	medium
Hosentasche	a2	high
Hospiz	b1	low
Host	b1	low
Hostel	a2	high
Hotelzimmer	a1	high
Hotline	a2	high
Hotspot	b1	low
House	b2	low
House-DJ	b1	low
Hub	c2	medium
Hubraum	b2	low
Hufeisen	b1	low
Huhn	a1	high
Humanität	c1	high
Hummel	b1	low
Hummer	a2	high
Hundebesitzer	a2	high
Hundefutter	a2	high
Hundehalter	b1	high
Hundert-Euro-Schein	a1	high
Hundert-Meter-Lauf	a2	high
Hunderter	a2	high
Hunderttausende	b1	low
Hungern	b2	high
Hungersnot	b1	high
Hungerstreik	b1	high
Hupe	a2	high
Hupen	a2	high
Hurra-Patriotismus	c1	low
Hurrikan	a2	high
Hybrid	b2	low
Hybride	b1	low
Hydraulik	b2	high
Hygiene	b1	low
Hygiene-Inspektor	b2	low
Hygiene-Institut	b2	low
Hymne	b2	low
Hype	b1	low
Hypnose	b2	high
Hypothek	b2	low
Hysterie	b2	high
Häftling	b1	high
Häkchen	a2	low
Hälfte	a2	high
Häme	c1	low
Händchen	a2	medium
Händedruck	a2	high
Händel	c1	medium
Hänge-Birke	b1	high
Hängematte	b1	high
Hänger	b1	low
Härte	b2	low
Häschen	a1	high
Häufigkeit	b1	low
Häuptling	b1	low
Häuschen	a1	high
Höchstgeschwindigkeit	b1	high
Höchststand	b1	high
Höhenflug	b1	low
Höhenmeter	b1	medium
Höhepunkt	b1	high
Hölle	b1	high
Hörbuch	a2	high
Hörensagen	b2	high
Höschen	a2	high
Hübscher	b1	medium
Hüfte	a2	high
Hühnchen	a1	high
Hülle	b1	low
Hündin	a2	low
Hürde	b1	high
Hüter	b2	medium
ICE-Trasse	b1	high
IP-Adresse	b2	high
IP-Netz	c1	high
IQ-Test	b1	high
IR-Strahlung	b2	high
IS-Kämpfer	b2	low
IT-Abteilung	b1	low
IT-Bereich	b1	high
IT-Branche	b2	high
IT-Panne	b1	low
IT-Profi	b1	low
IT-Service	b1	low
IT-Spezialist	b1	high
IT-Support	b1	low
IT-System	b2	high
IT-Typ	b1	low
IT-Wirtschaft	b2	low
Ich-Erzähler	b2	high
Ich-Erzählung	c1	low
Ich-Sucht	b2	low
Icon	a2	high
Identifikation	b1	high
Identifizierung	b2	high
Idiot	a2	high
Idol	b1	high
Idylle	c1	low
Igel	a2	high
Ignorant	b1	low
Ignoranz	b1	high
Ikone	b1	high
Illustrationen	b1	high
Illustrator	b1	high
Illustrierte	b1	high
Imagination	b2	high
Imam	b2	high
Imitation	b1	high
Imker	b1	medium
Immigration	b1	high
Immobilie	b1	high
Immobilien	b2	high
Immobilienmakler	b1	high
Immobilienmarkt	b2	high
Immunität	b2	low
Imperator	c1	medium
Imperialismus	b2	high
Imperium	b1	medium
Impfgegner	b1	high
Impfstoff-Kandidat	b2	high
Implementierung	b2	high
Impressum	b1	low
Improvisation	b1	high
Impuls	b2	low
In-Ear-Kopfhörer	b1	low
In-vitro-Fleisch	b2	low
Inanspruchnahme	c1	high
Inbegriff	c1	low
Inbetriebnahme	c1	low
Inder	a1	high
Index	b2	low
Indianer	b1	low
Indigo	b1	low
Indikation	c1	high
Indikator	b2	medium
Individualisierung	b2	low
Individualität	b1	high
Individuum	b2	high
Indiz	b1	low
Induktion	b2	low
Industrialisierung	b1	high
Industriegebiet	a2	high
Industrielle	b2	high
Industrieunternehmen	b1	low
Inferno	c1	low
Infinity-Pool	b1	low
Influencer	b1	high
Influenza	b2	low
Info	a2	high
Informatik	b1	high
Informatiker	b1	low
Informationsaustausch	b1	high
Informationstechnik	b1	low
Informationsveranstaltung	a2	high
Infrarot	b2	high
Ingwer	a2	high
Inhaberin	b1	high
Inhaltsangabe	a2	high
Inhaltsverzeichnis	a2	high
Initiator	b1	low
Injektion	b1	high
Inka	b2	low
Inka-Tempel	b1	low
Inkompetenz	b1	high
Inkrafttreten	b2	high
Inland	b1	low
Innenausstattung	b1	high
Inneneinrichtung	b1	low
Innenhof	a2	high
Innenleben	b2	high
Innenminister	b1	high
Innenministerium	b1	high
Innenraum	a2	high
Innenseite	a2	medium
Innenstadt	a2	high
Innenverteidiger	b2	high
Innere	b1	low
Inneres	b2	medium
Input	b1	low
Inquisition	b2	high
Inschrift	b1	low
Insider	b1	high
Insolvenz	b2	high
Inspektion	b1	medium
Inspektor	b1	high
Inspiration	b1	high
Instabilität	b2	high
Installation	b1	low
Instandsetzung	b2	medium
Instinkt	b1	low
Institution	b1	medium
Instrumentalisierung	b2	high
Insulin	b1	high
Integral	c1	low
Integrität	b2	high
Intellekt	b2	high
Intellektuelle	b2	high
Intellektueller	b1	low
Intendant	b2	high
Intention	b1	low
Interaktion	b2	high
Interessengemeinschaft	b2	low
Interessenvertretung	c1	high
Interessierter	b1	low
Interieur	b1	high
Intermezzo	c1	low
Internat	b1	high
Internationalisierung	b2	high
Internet	a1	high
Internet-Enzyklopädie	b1	low
Internetnutzer	b1	low
Internetportal	b1	low
Internetpräsenz	b2	high
Internetseite	a2	high
Internetverbindung	b1	low
Internetzugang	b1	high
Intervall	b1	high
Intimität	b1	high
Intoleranz	b1	high
Intrige	b2	high
Intrigen	b2	high
Intro	a2	high
Intuition	b1	high
Investition	b2	low
Investment	b2	high
Investor	b1	low
Inzest	b2	low
